pclass,sex,age,sibsp,parch,embarked,survived
first,male,48,zero,zero,S,NSUR
first,female,63,one,zero,S,NSUR
first,male,39,zero,zero,S,SUR
first,female,53,two,zero,S,NSUR
first,male,71,zero,zero,C,SUR
first,male,47,one,zero,C,SUR
first,female,18,one,zero,C,NSUR
first,female,24,zero,zero,C,NSUR
first,female,26,zero,zero,S,NSUR
first,male,80,zero,zero,S,NSUR
first,male,24,zero,one,C,SUR
first,female,50,zero,one,C,NSUR
first,female,32,zero,zero,C,NSUR
first,male,36,zero,zero,C,SUR
first,male,37,one,one,S,NSUR
first,female,47,one,one,S,NSUR
first,male,26,zero,zero,C,NSUR
first,female,42,zero,zero,C,NSUR
first,female,29,zero,zero,S,NSUR
first,male,25,zero,zero,C,SUR
first,male,25,one,zero,C,NSUR
first,female,19,one,zero,C,NSUR
first,female,35,zero,zero,S,NSUR
first,male,28,zero,zero,S,NSUR
first,male,45,zero,zero,S,SUR
first,male,40,zero,zero,C,NSUR
first,female,30,zero,zero,S,NSUR
first,female,58,zero,zero,S,NSUR
first,male,42,zero,zero,S,SUR
first,female,45,zero,zero,C,NSUR
first,female,22,zero,one,S,NSUR
first,male,41,zero,zero,S,SUR
first,male,48,zero,zero,C,SUR
first,female,44,zero,zero,C,NSUR
first,female,59,two,zero,S,NSUR
first,female,60,zero,zero,C,NSUR
first,female,41,zero,zero,C,NSUR
first,male,45,zero,zero,S,SUR
first,male,42,zero,zero,S,NSUR
first,female,53,zero,zero,C,NSUR
first,male,36,zero,one,C,NSUR
first,female,58,zero,one,C,NSUR
first,male,33,zero,zero,S,SUR
first,male,28,zero,zero,S,SUR
first,male,17,zero,zero,S,SUR
first,male,11,one,two,S,NSUR
first,female,14,one,two,S,NSUR
first,male,36,one,two,S,NSUR
first,female,36,one,two,S,NSUR
first,male,49,zero,zero,S,SUR
first,male,36,one,zero,S,SUR
first,female,76,one,zero,S,NSUR
first,male,46,one,zero,S,SUR
first,female,47,one,zero,S,NSUR
first,male,27,one,zero,S,NSUR
first,female,33,one,zero,S,NSUR
first,female,36,zero,zero,C,NSUR
first,female,30,zero,zero,S,NSUR
first,male,45,zero,zero,C,NSUR
first,male,27,one,zero,C,SUR
first,female,26,one,zero,C,NSUR
first,female,22,zero,zero,S,NSUR
first,male,47,zero,zero,S,SUR
first,female,39,one,one,C,NSUR
first,male,37,one,one,C,SUR
first,female,64,zero,two,C,NSUR
first,female,55,two,zero,S,NSUR
first,male,70,one,one,S,SUR
first,female,36,zero,two,S,NSUR
first,female,64,one,one,S,NSUR
first,male,39,one,zero,C,SUR
first,female,38,one,zero,C,NSUR
first,male,51,zero,zero,S,NSUR
first,male,27,zero,zero,S,NSUR
first,female,33,zero,zero,S,NSUR
first,male,31,one,zero,S,SUR
first,female,27,one,two,S,NSUR
first,male,31,one,zero,S,NSUR
first,female,17,one,zero,S,NSUR
first,male,53,one,one,S,NSUR
first,male,4,zero,two,S,NSUR
first,female,54,one,one,S,NSUR
first,male,50,one,zero,C,SUR
first,female,27,one,one,C,NSUR
first,female,48,one,zero,C,NSUR
first,female,48,one,zero,C,NSUR
first,male,49,one,zero,C,NSUR
first,male,39,zero,zero,C,SUR
first,female,23,zero,one,C,NSUR
first,female,38,zero,zero,C,NSUR
first,female,54,one,zero,C,NSUR
first,female,36,zero,zero,C,SUR
first,male,36,zero,zero,S,NSUR
first,male,30,zero,zero,C,SUR
first,female,24,three,two,S,NSUR
first,female,28,three,two,S,NSUR
first,female,23,three,two,S,NSUR
first,male,19,three,two,S,SUR
first,male,64,one,four,S,SUR
first,female,60,one,four,S,NSUR
first,female,30,zero,zero,C,NSUR
first,male,50,two,zero,S,NSUR
first,male,43,one,zero,C,NSUR
first,female,22,zero,two,C,NSUR
first,male,60,one,one,C,NSUR
first,female,48,one,one,C,NSUR
first,male,37,one,zero,S,SUR
first,female,35,one,zero,S,NSUR
first,male,47,zero,zero,S,SUR
first,female,35,zero,zero,C,NSUR
first,female,22,zero,one,C,NSUR
first,female,45,zero,one,C,NSUR
first,male,24,zero,zero,C,SUR
first,male,49,one,zero,C,NSUR
first,male,71,zero,zero,C,SUR
first,male,53,zero,zero,C,NSUR
first,female,19,zero,zero,S,NSUR
first,male,38,zero,one,S,SUR
first,female,58,zero,one,S,NSUR
first,male,23,zero,one,C,NSUR
first,female,45,zero,one,C,NSUR
first,male,46,zero,zero,C,SUR
first,male,25,one,zero,C,NSUR
first,female,25,one,zero,C,NSUR
first,male,48,one,zero,C,NSUR
first,female,49,one,zero,C,NSUR
first,male,45,one,zero,S,SUR
first,female,35,one,zero,S,NSUR
first,male,40,zero,zero,S,SUR
first,male,27,zero,zero,C,NSUR
first,female,24,zero,zero,C,NSUR
first,male,55,one,one,S,SUR
first,female,52,one,one,S,NSUR
first,male,42,zero,zero,S,SUR
first,male,55,zero,zero,S,SUR
first,female,16,zero,one,C,NSUR
first,female,44,zero,one,C,NSUR
first,female,51,one,zero,S,NSUR
first,male,42,one,zero,S,SUR
first,female,35,one,zero,S,NSUR
first,male,35,zero,zero,C,NSUR
first,male,38,one,zero,S,NSUR
first,female,35,one,zero,S,NSUR
first,female,38,zero,zero,,NSUR
first,female,50,zero,zero,C,SUR
first,male,49,zero,zero,S,NSUR
first,male,46,zero,zero,S,SUR
first,male,50,zero,zero,S,SUR
first,male,32.5,zero,zero,C,SUR
first,male,58,zero,zero,C,SUR
first,male,41,one,zero,S,SUR
first,male,42,one,zero,S,NSUR
first,female,45,one,zero,S,NSUR
first,female,39,zero,zero,S,NSUR
first,female,49,zero,zero,S,NSUR
first,female,30,zero,zero,C,NSUR
first,male,35,zero,zero,C,NSUR
first,male,42,zero,zero,S,SUR
first,female,55,zero,zero,C,NSUR
first,female,16,zero,one,S,NSUR
first,female,51,zero,one,S,NSUR
first,male,29,zero,zero,S,SUR
first,female,21,zero,zero,S,NSUR
first,male,30,zero,zero,S,SUR
first,female,58,zero,zero,C,NSUR
first,female,15,zero,one,S,NSUR
first,male,30,zero,zero,S,SUR
first,female,16,zero,zero,S,NSUR
first,male,19,one,zero,S,SUR
first,female,18,one,zero,S,NSUR
first,female,24,zero,zero,C,NSUR
first,male,46,zero,zero,C,SUR
first,male,54,zero,zero,S,SUR
first,male,36,zero,zero,S,NSUR
first,male,28,one,zero,C,SUR
first,male,65,zero,zero,S,SUR
first,male,44,two,zero,Q,SUR
first,female,33,one,zero,Q,NSUR
first,female,37,one,zero,Q,NSUR
first,male,30,one,zero,C,NSUR
first,male,55,zero,zero,S,SUR
first,male,47,zero,zero,S,SUR
first,male,37,zero,one,C,SUR
first,female,31,one,zero,C,NSUR
first,female,23,one,zero,C,NSUR
first,male,58,zero,two,C,SUR
first,female,19,zero,two,S,NSUR
first,male,64,zero,zero,S,SUR
first,female,39,zero,zero,C,NSUR
first,female,22,zero,one,C,NSUR
first,male,65,zero,one,C,SUR
first,male,28.5,zero,zero,C,SUR
first,male,45.5,zero,zero,S,SUR
first,male,23,zero,zero,S,SUR
first,male,29,one,zero,S,SUR
first,female,22,one,zero,S,NSUR
first,male,18,one,zero,C,SUR
first,female,17,one,zero,C,NSUR
first,female,30,zero,zero,S,NSUR
first,male,52,zero,zero,S,NSUR
first,male,47,zero,zero,S,SUR
first,female,56,zero,one,C,NSUR
first,male,38,zero,zero,S,SUR
first,male,22,zero,zero,C,SUR
first,female,43,zero,one,S,NSUR
first,male,31,zero,zero,S,SUR
first,male,45,zero,zero,S,NSUR
first,female,33,zero,zero,C,NSUR
first,male,46,zero,zero,C,SUR
first,male,36,zero,zero,C,SUR
first,female,33,zero,zero,S,NSUR
first,male,55,one,zero,C,SUR
first,female,54,one,zero,C,NSUR
first,male,33,zero,zero,S,SUR
first,male,13,two,two,C,NSUR
first,female,18,two,two,C,NSUR
first,female,21,two,two,C,NSUR
first,male,61,one,three,C,SUR
first,female,48,one,three,C,NSUR
first,female,24,zero,zero,C,NSUR
first,female,35,one,zero,C,NSUR
first,female,30,zero,zero,C,NSUR
first,male,34,zero,zero,S,NSUR
first,female,40,zero,zero,S,NSUR
first,male,35,zero,zero,S,NSUR
first,male,50,one,zero,S,SUR
first,female,39,one,zero,S,NSUR
first,male,56,zero,zero,C,NSUR
first,male,28,zero,zero,S,NSUR
first,male,56,zero,zero,S,SUR
first,male,56,zero,zero,C,SUR
first,male,24,one,zero,S,SUR
first,female,18,one,zero,S,NSUR
first,male,24,one,zero,S,NSUR
first,female,23,one,zero,S,NSUR
first,male,6,zero,two,C,NSUR
first,male,45,one,one,C,NSUR
first,female,40,one,one,C,NSUR
first,male,57,one,zero,C,SUR
first,male,32,zero,zero,C,NSUR
first,male,62,zero,zero,S,SUR
first,male,54,one,zero,C,NSUR
first,female,43,one,zero,C,NSUR
first,female,52,one,zero,C,NSUR
first,female,62,zero,zero,,NSUR
first,male,67,one,zero,S,SUR
first,female,63,one,zero,S,SUR
first,male,61,zero,zero,S,SUR
first,female,48,zero,zero,S,NSUR
first,female,18,zero,two,S,NSUR
first,male,52,one,one,S,SUR
first,female,39,one,one,S,NSUR
first,male,48,one,zero,S,NSUR
first,male,49,one,one,C,SUR
first,male,17,zero,two,C,NSUR
first,female,39,one,one,C,NSUR
first,male,31,zero,zero,C,NSUR
first,male,40,zero,zero,C,SUR
first,male,61,zero,zero,S,SUR
first,male,47,zero,zero,S,SUR
first,female,35,zero,zero,C,NSUR
first,male,64,one,zero,C,SUR
first,female,60,one,zero,C,NSUR
first,male,60,zero,zero,S,SUR
first,male,54,zero,one,S,SUR
first,male,21,zero,one,S,SUR
first,female,55,zero,zero,C,NSUR
first,female,31,zero,two,S,NSUR
first,male,57,one,one,S,SUR
first,female,45,one,one,S,NSUR
first,male,50,one,one,C,SUR
first,male,27,zero,two,C,SUR
first,female,50,one,one,C,NSUR
first,female,21,zero,zero,S,NSUR
first,male,51,zero,one,C,SUR
first,male,21,zero,one,C,NSUR
first,female,31,zero,zero,C,NSUR
first,male,62,zero,zero,S,SUR
first,female,36,zero,zero,C,NSUR
second,male,30,one,zero,C,SUR
second,female,28,one,zero,C,NSUR
second,male,30,zero,zero,S,SUR
second,male,18,zero,zero,S,SUR
second,male,25,zero,zero,S,SUR
second,male,34,one,zero,S,SUR
second,female,36,one,zero,S,NSUR
second,male,57,zero,zero,S,SUR
second,male,18,zero,zero,S,SUR
second,male,23,zero,zero,S,SUR
second,female,36,zero,zero,S,NSUR
second,male,28,zero,zero,S,SUR
second,male,51,zero,zero,S,SUR
second,male,32,one,zero,S,NSUR
second,female,19,one,zero,S,NSUR
second,male,28,zero,zero,S,SUR
second,male,1,two,one,S,NSUR
second,female,4,two,one,S,NSUR
second,female,12,two,one,S,NSUR
second,female,36,zero,three,S,NSUR
second,male,34,zero,zero,S,NSUR
second,female,19,zero,zero,S,NSUR
second,male,23,zero,zero,S,SUR
second,male,26,zero,zero,S,SUR
second,male,42,zero,zero,S,SUR
second,male,27,zero,zero,S,SUR
second,female,24,zero,zero,S,NSUR
second,female,15,zero,two,S,NSUR
second,male,60,one,one,S,SUR
second,female,40,one,one,S,NSUR
second,female,20,one,zero,S,NSUR
second,male,25,one,zero,S,SUR
second,female,36,zero,zero,S,NSUR
second,male,25,zero,zero,S,SUR
second,male,42,zero,zero,S,SUR
second,female,42,zero,zero,S,NSUR
second,male,0.8333,zero,two,S,NSUR
second,male,26,one,one,S,NSUR
second,female,22,one,one,S,NSUR
second,female,35,zero,zero,S,NSUR
second,male,19,zero,zero,S,SUR
second,female,44,one,zero,S,SUR
second,male,54,one,zero,S,SUR
second,male,52,zero,zero,S,SUR
second,male,37,one,zero,S,SUR
second,female,29,one,zero,S,SUR
second,female,25,one,one,S,NSUR
second,female,45,zero,two,S,NSUR
second,male,29,one,zero,S,SUR
second,female,28,one,zero,S,NSUR
second,male,29,zero,zero,S,SUR
second,male,28,zero,zero,S,SUR
second,male,24,zero,zero,S,NSUR
second,female,8,zero,two,S,NSUR
second,male,31,one,one,S,SUR
second,female,31,one,one,S,NSUR
second,female,22,zero,zero,S,NSUR
second,female,30,zero,zero,S,SUR
second,male,21,zero,zero,S,SUR
second,male,8,one,one,S,NSUR
second,male,18,zero,zero,S,SUR
second,female,48,zero,two,S,NSUR
second,female,28,zero,zero,S,NSUR
second,male,32,zero,zero,S,SUR
second,male,17,zero,zero,S,SUR
second,male,29,one,zero,C,SUR
second,female,24,one,zero,C,NSUR
second,male,25,zero,zero,S,SUR
second,male,18,zero,zero,S,SUR
second,female,18,zero,one,S,NSUR
second,female,34,zero,one,S,NSUR
second,male,54,zero,zero,S,SUR
second,male,8,zero,two,S,NSUR
second,male,42,one,one,S,SUR
second,female,34,one,one,S,NSUR
second,female,27,one,zero,C,NSUR
second,female,30,one,zero,C,NSUR
second,male,23,zero,zero,S,SUR
second,male,21,zero,zero,S,SUR
second,male,18,zero,zero,S,SUR
second,male,40,one,zero,S,SUR
second,female,29,one,zero,S,NSUR
second,male,18,zero,zero,S,SUR
second,male,36,zero,zero,S,SUR
second,female,38,zero,zero,S,SUR
second,male,35,zero,zero,S,SUR
second,male,38,one,zero,S,SUR
second,male,34,one,zero,S,SUR
second,female,34,zero,zero,S,NSUR
second,male,16,zero,zero,S,SUR
second,male,26,zero,zero,S,SUR
second,male,47,zero,zero,S,SUR
second,male,21,one,zero,S,SUR
second,male,21,one,zero,S,SUR
second,male,24,zero,zero,S,SUR
second,male,24,zero,zero,S,SUR
second,male,34,zero,zero,S,SUR
second,male,30,zero,zero,S,SUR
second,male,52,zero,zero,S,SUR
second,male,30,zero,zero,S,SUR
second,male,0.6667,one,one,S,NSUR
second,female,24,zero,two,S,NSUR
second,male,44,zero,zero,S,SUR
second,female,6,zero,one,S,NSUR
second,male,28,zero,one,S,SUR
second,male,62,zero,zero,S,NSUR
second,male,30,zero,zero,S,SUR
second,female,7,zero,two,S,NSUR
second,male,43,one,one,S,SUR
second,female,45,one,one,S,NSUR
second,female,24,one,two,S,NSUR
second,female,24,one,two,S,NSUR
second,male,49,one,two,S,SUR
second,female,48,one,two,S,NSUR
second,female,55,zero,zero,S,NSUR
second,male,24,two,zero,S,SUR
second,male,32,two,zero,S,SUR
second,male,21,two,zero,S,SUR
second,female,18,one,one,S,SUR
second,female,20,two,one,S,NSUR
second,male,23,two,one,S,SUR
second,male,36,zero,zero,S,SUR
second,female,54,one,three,S,NSUR
second,male,50,zero,zero,S,SUR
second,male,44,one,zero,S,SUR
second,female,29,one,zero,S,NSUR
second,male,21,zero,zero,S,SUR
second,male,42,zero,zero,S,NSUR
second,male,63,one,zero,S,SUR
second,female,60,one,zero,S,SUR
second,male,33,zero,zero,S,SUR
second,female,17,zero,zero,S,NSUR
second,male,42,one,zero,S,SUR
second,female,24,two,one,S,NSUR
second,male,47,zero,zero,S,SUR
second,male,24,two,zero,S,SUR
second,male,22,two,zero,S,SUR
second,male,32,zero,zero,S,SUR
second,female,23,zero,zero,C,NSUR
second,male,34,one,zero,S,SUR
second,female,24,one,zero,S,NSUR
second,female,22,zero,zero,S,SUR
second,male,35,zero,zero,Q,SUR
second,female,45,zero,zero,S,NSUR
second,male,57,zero,zero,Q,SUR
second,male,31,zero,zero,S,SUR
second,female,26,one,one,S,SUR
second,male,30,one,one,S,SUR
second,female,1,one,two,C,NSUR
second,female,3,one,two,C,NSUR
second,male,25,one,two,C,SUR
second,female,22,one,two,C,NSUR
second,female,17,zero,zero,C,NSUR
second,female,34,zero,zero,S,NSUR
second,male,36,zero,zero,C,SUR
second,male,24,zero,zero,S,SUR
second,male,61,zero,zero,Q,SUR
second,male,50,one,zero,S,SUR
second,female,42,one,zero,S,NSUR
second,female,57,zero,zero,S,SUR
second,male,1,zero,two,C,NSUR
second,male,31,one,one,C,SUR
second,female,24,one,one,C,NSUR
second,male,30,zero,zero,S,SUR
second,male,40,zero,zero,S,SUR
second,male,32,zero,zero,S,SUR
second,male,30,zero,zero,S,SUR
second,male,46,zero,zero,S,SUR
second,female,13,zero,one,S,NSUR
second,female,41,zero,one,S,NSUR
second,male,19,zero,zero,S,NSUR
second,male,39,zero,zero,S,SUR
second,male,48,zero,zero,S,SUR
second,male,70,zero,zero,S,SUR
second,male,27,zero,zero,S,SUR
second,male,54,zero,zero,S,SUR
second,male,39,zero,zero,S,SUR
second,male,16,zero,zero,S,SUR
second,male,62,zero,zero,Q,SUR
second,male,32.5,one,zero,C,SUR
second,female,14,one,zero,C,NSUR
second,male,2,one,one,S,NSUR
second,male,3,one,one,S,NSUR
second,male,36.5,zero,two,S,SUR
second,male,26,zero,zero,S,SUR
second,male,19,one,one,S,SUR
second,male,28,zero,zero,S,SUR
second,male,20,zero,zero,C,NSUR
second,female,29,zero,zero,S,NSUR
second,male,39,zero,zero,S,SUR
second,male,22,zero,zero,S,NSUR
second,male,23,zero,zero,S,SUR
second,male,29,zero,zero,C,NSUR
second,male,28,zero,zero,S,SUR
second,female,50,zero,one,S,NSUR
second,male,19,zero,zero,S,SUR
second,male,41,zero,zero,S,SUR
second,female,21,zero,one,S,NSUR
second,female,19,zero,zero,S,NSUR
second,male,43,zero,one,S,SUR
second,female,32,zero,zero,S,NSUR
second,male,34,zero,zero,S,SUR
second,male,30,zero,zero,C,NSUR
second,male,27,zero,zero,C,SUR
second,female,2,one,one,S,NSUR
second,female,8,one,one,S,NSUR
second,female,33,zero,two,S,NSUR
second,male,36,zero,zero,S,SUR
second,male,34,one,zero,S,SUR
second,female,30,three,zero,S,NSUR
second,female,28,zero,zero,S,NSUR
second,male,23,zero,zero,C,SUR
second,male,0.8333,one,one,S,NSUR
second,male,3,one,one,S,NSUR
second,female,24,two,three,S,NSUR
second,female,50,zero,zero,S,NSUR
second,male,19,zero,zero,S,SUR
second,female,21,zero,zero,S,NSUR
second,male,26,zero,zero,S,SUR
second,male,25,zero,zero,S,SUR
second,male,27,zero,zero,S,SUR
second,female,25,zero,one,S,NSUR
second,female,18,zero,two,S,NSUR
second,female,20,zero,zero,S,NSUR
second,female,30,zero,zero,S,NSUR
second,male,59,zero,zero,S,SUR
second,female,30,zero,zero,Q,NSUR
second,male,35,zero,zero,S,SUR
